date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:03:17	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Nov%202024%2010:03:18%20GMT	https://erramix-themes.com/robots.txt		(from )
07:03:17	43176/43176	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:40:56%20GMT	https://erramix-themes.com/agentic/	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/index.html	(from )
07:03:18	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Sat,%2020%20Apr%202024%2001:01:12%20GMT	https://erramix-themes.com/agentic/images/favicon.ico	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/favicon.ico	(from https://erramix-themes.com/agentic/)
07:03:18	6741/6741	---M-Z	200	added ('OK')	text/css	etag:%22659946f3-bda%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/css/toastr.min.css	C:/Users/Home/Desktop/THASSIA/agencialimino/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/css/toastr.min.css	(from https://erramix-themes.com/agentic/)
07:03:18	232952/232952	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Oct%202023%2017:00:16%20GMT	https://erramix-themes.com/agentic/css/bootstrap.min.css	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/css/bootstrap.min.css	(from https://erramix-themes.com/agentic/)
07:03:19	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%226696a8d8-546c%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	C:/Users/Home/Desktop/THASSIA/agencialimino/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	(from https://erramix-themes.com/agentic/)
07:03:19	22157/22157	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Aug%202024%2022:43:08%20GMT	https://erramix-themes.com/agentic/css/styles.css	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/css/styles.css	(from https://erramix-themes.com/agentic/)
07:03:19	43176/43176	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:40:56%20GMT	https://erramix-themes.com/agentic/index.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/index-2.html	(from https://erramix-themes.com/agentic/)
07:03:20	15086/15086	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:42:02%20GMT	https://erramix-themes.com/agentic/about.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/about.html	(from https://erramix-themes.com/agentic/)
07:03:20	34328/34328	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:43:14%20GMT	https://erramix-themes.com/agentic/services.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/services.html	(from https://erramix-themes.com/agentic/)
07:03:20	16921/16921	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:43:30%20GMT	https://erramix-themes.com/agentic/work.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/work.html	(from https://erramix-themes.com/agentic/)
07:03:20	15482/15482	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:42:18%20GMT	https://erramix-themes.com/agentic/career.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/career.html	(from https://erramix-themes.com/agentic/)
07:03:21	15149/15149	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:42:52%20GMT	https://erramix-themes.com/agentic/privacy-policy.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/privacy-policy.html	(from https://erramix-themes.com/agentic/)
07:03:21	16065/16065	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:43:24%20GMT	https://erramix-themes.com/agentic/terms-of-use.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/terms-of-use.html	(from https://erramix-themes.com/agentic/)
07:03:21	22671/22671	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2002:42:34%20GMT	https://erramix-themes.com/agentic/contact.html	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/contact.html	(from https://erramix-themes.com/agentic/)
